Authors,Year,Title,Journal/Book,Volume,Pages,Notes,DOI
"Hodgkin, AL; Huxley, AF",1952,A quantitative description of membrane current and its application to conduction and excitation in nerve,Journal of Physiology,117,500-544,,10.1113/jphysiol.1952.sp004764
"Holt, GR; Softky, GW; Koch, C; Douglas, RJ",1996,Comparison of discharge variability in vitro and in vivo in cat visual cortex neurons,Journal of Neurophysiology,75,1806-1814,,10.1152/jn.1996.75.5.1806
"Hopfield, JJ",1982,Neural networks and systems with emergent selective computational abilities,Proceedings of the National Academy of Sciences USA,79,2554-2558,,10.1073/pnas.79.8.2554
"Hopfield, JJ",1984,Neurons with graded response have collective computational properties like those of two-state neurons,Proceedings of the National Academy of Sciences USA,81,3088-3092,,10.1073/pnas.81.10.3088
"Houk, JC; Adams, JL; Barto, AG",1995,A model of how the basal ganglia generate and use neural signals that predict reinforcement,,,249-270,"In Models of Information Processing in the Basal Ganglia. Cambridge, MA: MIT Press",10.1523/jneurosci.15-05-04046.1995
"Houk, JC; Davis, JL; Beiser, DG",1995,Models of Information Processing in the Basal Ganglia,,,,"Cambridge, MA: MIT Press",10.1093/cercor/5.2.95
"Hubel, DH",1988,"Eye, Brain, and Vision",,,,New York: WH Freeman,
"Hubel, DH; Wiesel, TN",1962,"Receptive fields, binocular interaction and functional architecture in the cat's visual cortex",Journal of Physiology,160,106-154,,10.1113/jphysiol.1962.sp006837
"Hubel, DH; Wiesel, TN",1968,Receptive fields and functional architecture of the monkey striate cortex,Journal of Physiology,195,215-243,,10.1113/jphysiol.1968.sp008455
"Hubel, DH; Wiesel, TN",1977,Functional architecture of macaque monkey visual cortex,Proceedings of the Royal Society of London,B198,1-59,,10.1098/rspb.1977.0085
"Hubener, M; Shoham, D; Grinvald, A; Bonhoeffer, T",1997,Spatial relationships among three columnar systems in cat area 17,Journal of Neuroscience,17,9270-9284,,10.1523/jneurosci.17-23-09270.1997
"Huber, PJ",1985,Projection pursuit,Annals of Statistics,13,435-475,,10.1214/aos/1176349519
"Huguenard, JR; McCormick, DA",1992,Simulation of the currents involved in rhythmic oscillations in thalamic relay neurons,Journal of Neurophysiology,68,1373-1383,,10.1152/jn.1992.68.4.1373
"Humphrey, DR; Schmidt, EM; Thompson, WD",1970,Predicting measures of motor performance from multiple cortical spike trains,Science,170,758-761,,10.1126/science.170.3959.758
"Intrator, N; Cooper, LN",1992,Objective function formulation of the BCM theory of visual cortical plasticity,Neural Networks,5,3-17,,10.1016/s0893-6080(05)80003-6
"Jack, JJB; Noble, D; Tsien, RW",1975,Electrical Current Flow in Excitable Cells,,,,Oxford: Oxford University Press,10.1113/jphysiol.1975.sp011080
"Jahr, CE; Stevens, CF",1990,A quantitative description of NMDA receptor channel kinetic behavior,Journal of Neuroscience,10,1830-1837,,10.1523/jneurosci.10-06-01830.1990
"Johnston, D; Wu, SM",1995,Foundations of Cellular Neurophysiology,,,,"Cambridge, MA: MIT Press",10.1523/jneurosci.15-08-05789.1995
"Jolliffe, IT",1986,Principal Component Analysis,,,,New York: Springer-Verlag,10.1007/978-1-4757-1904-8
"Jones, J; Palmer, L",1987,The two-dimensional spatial structure of simple receptive fields in cat striate cortex,Journal of Neurophysiology,58,1187-1211,,10.1152/jn.1987.58.6.1187
"Jones, J; Palmer, L",1987,An evaluation of the two-dimensional Gabor filter model of simple receptive fields in cat striate cortex,Journal of Neurophysiology,58,1233-1258,,10.1152/jn.1987.58.6.1233
"Jordan, DW; Smith, P",1977,Nonlinear Ordinary Differential Equations,,,,Oxford: Clarendon Press,10.1080/00036817708839173
"Jordan, MI",1998,Learning in Graphical Models,,,,Dordrecht: Kluwer Academic Publishers,10.1007/978-94-011-5014-9_5
